RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
9,California,1,25070,25484,25811,27392,29125,30365,32733,34635,35901,36393,37529,39265,38930,36843,34294,34255,34935,34959,35177,35321,37496,38313,38422,37942,37159,35927,34574,33830,32245,30673,29736,29845,31788,33097,35787,36325,36663,34885,32867,31674,30779,31520,31554,31848,33244,34083,36676,37846,38274,36712,35105,34198,33861,33825,32844,34058,35882,38252,39808,39803,39478,38135,37130,36094,36239,36094,36192,35905,36076,36008,36473,36111,35576,34911,33996,34172,33811,33557,33930,34456,34987,35196,35226,35786,36302,36994,36927,37907,38380,38347,38089,37085,36981,37181,37803,38907,38545,38191,37484,38092,37569,38217,37967,38436,40375,40346,41854,40110,40837,39003,39235,39825,39855,40054,38687,39493,40545,39778,40144,38581,39245,38131,37619,36609
54,Texas,2,26854,25682,23907,23918,23355,22587,21581,21013,20455,20366,20379,21570,21947,21553,20289,20436,21035,21224,21146,21069,23611,24013,23659,22232,22560,23752,23772,23693,21253,19432,17637,17746,19168,19792,21548,21181,21716,20798,20593,20209,19482,19618,19206,19336,19821,20265,21919,22681,22984,22028,21566,21804,22250,21760,20887,21296,21917,22761,23967,25005,25649,26402,26530,26860,26225,26158,26294,25877,25961,25900,26613,26622,26812,26838,27027,27599,27363,25698,26094,26577,28414,28460,28473,28486,28533,28244,28022,28663,29151,28554,28235,28190,29069,29343,30100,32005,32148,31741,30452,30556,29951,30195,29991,30140,31522,31870,33951,33864,34623,33216,32936,32670,32192,31087,30295,31346,33184,33291,34466,34135,33864,32335,32128,33064
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9430,9712,10018,10953,11561,11284,10970,10429,10398,9909,9526,9311,9230,9767,10052,10530,10657,10883,11075,10858,10552,10057,9896,9879,9880,10631,11170,11688,11623,11906,11886,11935,12112,12686,13002,12857,12798,12778,12602,12412,12363,12680,12806,12940,12833,12884,13060,13004,13310,13099,13635,13813,14192,13767,13963,14375,14905,15121,14885,15116,15102,15162,15716,16579,17129,16657,16300,15968,16400,16208,16118,16282,16367,17250,17823,18558,18613,18407,18365,17655,17825,17047,17360,17037,17180,17645,17495,17378,17157,,
14,Florida,4,18064,17481,17241,17652,17984,17725,17908,17746,17505,17308,18117,19486,20275,19966,19935,20653,21757,22367,22915,23502,24815,25458,25939,25304,25597,25164,25089,24830,24231,23802,23112,22966,23627,24324,26904,28296,29366,28246,27214,25988,24707,24947,24740,24515,24585,24636,26063,26246,26682,26527,26531,26074,25662,25613,25702,27228,28641,30101,31968,32572,32879,32334,32502,32812,32756,33028,33463,33706,33597,33839,34570,34981,34951,34681,34789,35118,35346,35289,36140,37013,37873,38762,38333,38990,39257,40260,39634,40180,40309,40570,40393,39481,39511,38601,38584,38928,38826,38445,37785,38363,37765,38185,37228,37265,37830,38165,39841,39796,41159,40537,41457,41608,41641,41637,37844,37916,37437,40201,42456,42702,43511,42092,42147,42026
21,Illinois,5,15218,14860,13552,13050,12930,12689,12714,12314,11831,11211,10705,11298,11738,12051,11382,11203,11487,11760,12053,12386,13910,14699,14469,14004,13971,14504,14172,13937,12903,11783,10417,9759,10164,10656,11655,12069,12505,11972,11443,11097,10846,11089,10786,10866,11062,11567,12602,13426,13786,13427,12837,12683,12401,12579,11989,12101,11848,12257,13684,14685,15166,14764,14081,13947,14377,14854,15188,15219,15821,16237,16740,17048,16916,16558,15801,16020,15707,15259,15698,16360,16797,16792,16105,16884,17013,17592,17046,17442,17940,18635,18510,18019,17431,17087,17051,18623,19010,19163,18394,18798,18800,19075,18442,18071,17796,17985,18810,18923,19564,19156,19391,19149,19089,18982,17995,17680,17522,17902,18400,18299,18712,18976,19584,20360
47,Pennsylvania,6,13137,12721,11600,11352,10977,10798,10761,10508,10168,9595,9273,9433,9472,9608,9197,9420,9692,10195,10558,10663,11519,11644,11088,10143,10066,10878,11045,11399,10647,9837,8721,8324,8657,8830,9457,10072,10318,10037,9421,9315,9097,9380,9134,9119,8976,9055,9851,10625,10820,10535,10058,9962,9924,9823,9406,9465,9851,10505,11249,11722,11707,11649,11344,11494,11458,11526,11833,11680,11563,11433,11722,11946,11821,11590,11288,11635,11627,11783,11811,12056,12151,12488,12722,13529,13702,13782,13120,13145,13638,13902,14220,14004,14013,13987,14183,15469,15534,15530,14766,15159,14842,15026,14660,14560,14727,14884,16089,16683,17107,16442,15983,15777,15395,15299,14959,15383,15773,15949,16958,17162,17199,16841,16323,16604
44,Ohio,7,13414,12952,11975,11769,11481,11166,11105,11144,11033,11017,10608,11076,10914,10921,10075,9899,9989,10316,10607,10998,11918,12373,12098,11574,11458,11860,12006,11896,10667,9582,8857,8928,9372,9766,10596,11052,11309,10987,10530,9958,9572,9631,9733,9852,10024,10284,11065,11823,12054,11640,10882,10382,10038,9835,9519,9907,10392,11161,12153,12941,13281,12955,12676,12658,12808,12863,12781,12709,12766,12863,12835,12692,12246,11857,11608,11916,12097,11710,11846,12122,12635,13228,13372,14101,14105,14374,13980,14097,14154,14215,14063,13769,13406,13234,13742,14862,15020,14782,14326,14865,14814,15088,15008,15003,15114,15027,15746,16068,16690,16435,16474,16393,16175,16341,16189,16848,17230,17568,18072,17907,18044,17892,18095,
30,Michigan,8,12399,12651,11982,11659,11241,10825,10827,10731,9795,9848,10023,11709,12491,13100,12839,12172,11972,11782,11862,11206,10779,11548,12225,13720,14059,14745,14166,13543,12072,11064,10261,10059,9982,10417,11320,12661,13491,13537,12816,11785,11103,11529,11531,11319,11187,11473,12487,13894,14794,14873,13944,13198,12832,12618,12443,13073,14402,15038,15767,15871,16183,15863,15073,14794,14610,14511,14814,14963,15475,15479,15416,15230,14712,14584,13978,14137,14296,14305,14489,14411,14739,15519,15387,15497,15034,15642,15229,15696,15374,15836,15316,15363,15114,15290,15532,16684,17161,17394,17039,17227,17156,17414,17354,16364,14430,14217,15495,17445,18141,17752,18144,18250,18441,18548,17874,17658,15448,15098,15342,16524,16701,16698,17416,
16,Georgia,9,13896,13601,12764,12604,12577,12436,12594,12734,12541,12377,11096,10576,10120,10092,9857,9845,10429,11023,11e3,11040,11537,12355,11546,11068,10577,11293,11083,10842,10122,9646,9680,10591,11644,11938,11703,11597,11556,11304,11233,11348,11935,13010,14652,16173,17353,17420,18169,18908,19499,19576,19293,20069,20479,20890,20400,20765,21337,21516,22118,22168,22213,21562,21002,21244,21410,21634,21278,21024,20777,20381,20436,20214,20505,19825,19824,19892,20430,20471,20606,20769,20753,20687,20405,20422,20326,20708,18646,17438,15514,15728,16923,17585,17126,17260,17734,20523,20854,21528,21346,22381,21629,21062,19381,19166,19090,19364,18143,16989,16285,16670,17398,17506,17625,17401,16629,16858,17025,17898,17254,17220,16952,18027,18289,
36,North Carolina,10,10844,10438,9516,9413,9205,8969,8785,8554,7881,7337,6998,7523,7646,7552,7092,7224,7582,7825,8161,8469,9039,8854,8376,8006,8151,8629,8683,8761,7916,7348,6852,6972,7097,7285,7565,7841,7856,7718,7383,7195,6869,7059,7051,7122,7015,6923,7371,7980,8261,8108,7747,7668,7458,7329,7170,7526,7865,8352,9040,9561,9721,9712,9747,9868,9807,9854,9917,10028,9881,9830,10010,10167,10119,9861,9788,9993,10153,10038,9942,10274,10309,10727,10716,11165,11248,10235,8933,8872,10118,11280,11285,10749,9869,9127,9365,10800,11783,12242,12275,12957,12822,13183,13274,13657,14128,13994,14680,14681,15351,14860,14630,14577,14389,14807,14989,15868,15988,15398,15290,15171,15362,15310,15367,15374
